State_code,State,Municipality,Municipal_code,Year,Treatment,MajorHighway,MajorPort,Airports,Railline,Oilline,Intlborder,Shoreline,Poppies,MajCity,Mayor,MayorParty,Attack,Attack_count,Incumbent,Population,Homicidio,id_code
30,Veracruz,Tres Valles,207,2017,0,1,0,1,0,0,0,0,0,0,Marcos Nelson Cano Ramos,PRI,0,0,0,933576,26,30-207
30,Veracruz,Tres Valles,207,2018,0,1,0,1,0,0,0,0,0,0,Marcos Nelson Cano Ramos,PRI,0,0,0,933576,27,30-207
30,Veracruz,Tres Valles,207,2019,0,1,0,1,0,0,0,0,0,0,José Manuel Díaz Rodríguez,PRD,0,0,0,933576,50,30-207
30,Veracruz,Tres Valles,207,2020,0,1,0,1,0,0,0,0,0,0,José Manuel Díaz Rodríguez,PRD,0,0,0,933576,54,30-207
30,Veracruz,Tres Valles,207,2021,0,1,0,1,0,0,0,0,0,0,Zulema del Carmen Aguilar García,Morena,0,0,0,933576,61,30-207
20,Oaxaca,Zimatlán,570,2015,1,1,0,0,0,0,0,0,0,0,Yolanda Britania Alvarez Perez,PRI,0,0,0,933576,50,20-570
20,Oaxaca,Zimatlán,570,2016,1,1,0,0,0,0,0,0,0,0,Yolanda Britania Alvarez Perez,PRI,0,0,0,933576,31,20-570
20,Oaxaca,Zimatlán,570,2017,1,1,0,0,0,0,0,0,0,0,Javier César Barroso Sánchez,PAN,0,0,0,21420,0,20-570
20,Oaxaca,Zimatlán,570,2018,1,1,0,0,0,0,0,0,0,0,Javier César Barroso Sánchez,PAN,0,0,0,21420,1,20-570
20,Oaxaca,Zimatlán,570,2019,1,1,0,0,0,0,0,0,0,0,Javier César Barroso Sánchez,PAN,0,0,0,21420,2,20-570
20,Oaxaca,Zimatlán,570,2020,1,1,0,0,0,0,0,0,0,0,Javier César Barroso Sánchez,PAN,0,0,0,21420,1,20-570
20,Oaxaca,Villa Tezoatlán,570,2021,1,0,0,0,0,0,0,0,0,0,Veronica Castro Montesinos,MRN,0,0,0,21420,1,20-570
20,Oaxaca,Zapotitlán Lagunas,567,2015,1,0,0,0,0,0,0,0,1,0,Henri Gonzalez Estudillo,PRI,0,0,0,21420,1,20-567
20,Oaxaca,Zapotitlán Lagunas,567,2016,1,0,0,0,0,0,0,0,1,0,Henri Gonzalez Estudillo,PRI,0,0,0,21420,0,20-567
20,Oaxaca,Zapotitlán Lagunas,567,2017,1,0,0,0,0,0,0,0,1,0,Armando Salvador Bravo Sosa,PT,0,0,0,48806,1,20-567
20,Oaxaca,Zapotitlán Lagunas,567,2018,1,0,0,0,0,0,0,0,1,0,Armando Salvador Bravo Sosa,PT,0,0,0,48806,2,20-567
20,Oaxaca,Zapotitlán Lagunas,567,2019,1,0,0,0,0,0,0,0,1,0,Fabiola Honorina Morales González,PAN,0,0,0,48806,1,20-567
20,Oaxaca,Zapotitlán Lagunas,567,2020,1,0,0,0,0,0,0,0,1,0,Fabiola Honorina Morales González,PAN,0,0,0,48806,0,20-567
20,Oaxaca,Villa Tejúpam de la Unión,567,2021,1,1,0,0,0,0,0,0,0,0,Wilhemly Aurory Carrizosa Rojas,MRN,0,0,0,48806,8,20-567
20,Oaxaca,Villa de Zaachila,565,2015,1,1,0,0,0,0,0,0,0,0,Sergio Raciel Vale Lopez,PRD,0,0,0,48806,2,20-565
20,Oaxaca,Villa de Zaachila,565,2016,1,1,0,0,0,0,0,0,0,0,Sergio Raciel Vale Lopez,PRD,0,0,0,48806,1,20-565
20,Oaxaca,Villa de Zaachila,565,2017,1,1,0,0,0,0,0,0,0,0,Maricela Martinez Coronel,ALIANZA,0,0,0,49759,2,20-565
20,Oaxaca,Villa de Zaachila,565,2018,1,1,0,0,0,0,0,0,0,0,Maricela Martinez Coronel,ALIANZA,1,2,0,49759,0,20-565
